Date, Open, High, Low, Close, Volume
12/24/19,83.672,85.094,82.5375,85.05,40273599.4
12/26/19,85.582,86.696,85.27,86.188,53241449.2
12/27/19,87,87.062,85.222,86.076,49784134.25
12/30/19,85.758,85.8,81.8518,82.94,63006349.05
12/31/19,81,84.258,80.416,83.666,51462299.23
1/2/20,84.9,86.1392,84.342,86.052,47791929.28
1/3/20,88.1,90.8,87.384,88.602,88973493.67
1/6/20,88.094,90.312,88,90.308,50787499.24
1/7/20,92.28,94.326,90.671,93.812,91045703.63
1/8/20,94.74,99.698,93.646,98.428,155996952.7
1/9/20,99.42,99.76,94.574,96.268,142315942.9
1/10/20,96.358,96.988,94.74,95.63,64884149.03
1/13/20,98.7,105.126,98.4,104.972,133172753
1/14/20,108.851,109.482,104.98,107.584,145306902.8
1/15/20,105.952,107.568,103.3571,103.7,86844148.7
1/16/20,98.75,102.892,98.434,102.698,108683248.4
1/17/20,101.522,103.134,100.632,102.1,68145353.98
1/21/20,106.05,109.716,105.682,109.44,89017353.66
1/22/20,114.378,118.9,111.82,113.912,156845142.6
1/23/20,112.85,116.4,111.1205,114.44,98255193.53
1/24/20,114.126,114.772,110.852,112.964,71767998.92
1/27/20,108.398,112.888,107.856,111.604,68040353.98
1/28/20,113.698,115.362,111.616,113.38,58942449.12
1/29/20,115.138,117.96,113.486,116.198,91083348.63
1/30/20,126.484,130.176,123.6,128.162,145028397.8
1/31/20,128,130.6,126.504,130.114,78596353.82
2/3/20,134.738,157.228,134.704,156,236167496.5
2/4/20,176.592,193.798,166.776,177.412,304693805.4
2/5/20,164.652,169.196,140.8221,146.94,242119196.4
2/6/20,139.984,159.166,137.4,149.792,199403767
2/7/20,146.11,153.95,146,149.614,85317598.72
2/10/20,160,163.998,150.48,154.256,123445798.1
2/11/20,153.758,156.7012,151.6,154.876,58487349.12
2/12/20,155.574,157.95,152.674,153.458,60112349.1
2/13/20,148.368,163.6,147,160.8,131446748
2/14/20,157.444,162.594,157.1,160.006,78468553.82
2/18/20,168.32,172,166.472,171.68,83491843.75
2/19/20,184.7,188.956,180.204,183.484,127114803.1
2/20/20,182.39,182.4,171.988,179.882,88174453.68
2/21/20,181.396,182.612,176.09,180.2,71697248.92
2/24/20,167.8,172.7,164.44,166.758,75960798.86
2/25/20,169.8,171.32,157.4,159.982,86452398.7
2/26/20,156.5,162.662,155.222,155.76,70769198.94
2/27/20,146,147.954,133.8,135.8,121385798.2
2/28/20,125.94,138.104,122.304,133.598,122820848.2
3/2/20,142.252,148.738,137.334,148.724,100974948.5
3/3/20,161,161.396,143.2221,149.102,128919998.1
3/4/20,152.7921,153.304,144.9469,149.9,75244893.87
3/5/20,144.754,149.15,143.614,144.908,54263299.19
3/6/20,138.0008,141.4,136.854,140.696,63314599.05
3/9/20,121.078,132.5996,121,121.6,85368698.72
3/10/20,131.886,133.6,121.6,129.066,77972198.83
3/11/20,128.04,130.716,122.6,126.846,67067948.99
3/12/20,116.178,118.9,109.25,112.11,94545253.58
3/13/20,119,121.514,100.4,109.324,113201248.3
3/16/20,93.8999,98.974,88.434,89.014,102447303.5
3/17/20,88.002,94.37,79.2,86.04,119972898.2
3/18/20,77.8,80.972,70.102,72.244,118930798.2
3/19/20,74.9394,90.4,71.692,85.528,150977302.7
3/20/20,87.64,95.4,85.158,85.506,141427507.9
3/23/20,86.72,88.4,82.1,86.858,82272753.77
3/24/20,95.46,102.738,94.8,101,114475848.3
3/25/20,109.05,111.4,102.222,107.85,106113748.4
3/26/20,109.478,112,102.45,105.632,87110398.69
3/27/20,101,105.16,98.806,102.872,71887048.92
3/30/20,102.052,103.3294,98.246,100.426,59990349.1
3/31/20,100.25,108.592,99.4,104.8,88857448.67
4/1/20,100.8,102.791,95.02,96.312,66765899
4/2/20,96.206,98.852,89.28,90.894,99292148.51
4/3/20,101.9,103.098,93.678,96.002,112810398.3
4/6/20,102.24,104.2,99.592,103.248,73690998.89
4/7/20,109,113,106.468,109.09,89598893.66
4/8/20,110.84,111.4416,106.666,109.768,63280099.05
4/9/20,112.418,115.0364,111.422,114.6,68249998.98
4/13/20,118.032,130.4,116.106,130.19,112377098.3
4/14/20,139.794,148.376,138.486,141.978,152882547.7
4/15/20,148.4,150.626,142,145.966,117884998.2
4/16/20,143.388,151.89,141.343,149.042,103289293.5
4/17/20,154.456,154.99,149.532,150.778,65641149.02
4/20/20,146.54,153.114,142.442,149.272,73731848.89
4/21/20,146.024,150.666,134.758,137.344,101045448.5
4/22/20,140.796,146.8,137.742,146.422,71124153.93
4/23/20,145.52,146.8,140.626,141.126,66183499.01
4/24/20,142.162,146.146,139.636,145.03,66188049.01
4/27/20,147.522,159.898,147,159.75,103407193.4
4/28/20,159.128,161,151.338,153.824,76109798.86
4/29/20,158.034,160.64,156.632,160.102,81079893.78
4/30/20,171.038,173.964,152.7,156.376,142359247.9
5/1/20,151,154.554,136.608,140.264,162659042.6
5/4/20,140.2,152.4,139.6,152.238,96185448.56
5/5/20,157.958,159.784,152.436,153.642,84958298.73
5/6/20,155.3,157.96,152.222,156.516,55616149.17
5/7/20,155.442,159.28,154.47,156.008,57638449.14
5/8/20,158.754,164.8,157.402,163.884,80650448.79
5/11/20,158.102,164.8,157,162.258,82597998.76
5/12/20,165.4,168.658,161.6,161.882,79534553.81
5/13/20,164.166,165.2,152.66,158.192,95327448.57
5/14/20,156,160.672,152.8,160.666,68410953.97
5/15/20,158.07,161.0097,157.3104,159.834,52592149.21
5/18/20,165.556,166.944,160.776,162.726,58490499.12
5/19/20,163.034,164.414,161.216,161.602,48182609.28
5/20/20,164.1,165.2,162.36,163.112,36546354.45
5/21/20,163.2,166.5,159.2,165.52,61272899.08
5/22/20,164.4348,166.356,162.4,163.376,49937374.25
5/26/20,166.9,166.92,163.141,163.774,40448679.39
5/27/20,164.172,165.542,157,164.046,57747649.13
5/28/20,162.702,164.95,160.338,161.162,36378864.45
5/29/20,161.75,167,160.842,167,59062449.11
6/1/20,171.6,179.8,170.82,179.62,75426493.87
6/2/20,178.94,181.732,174.2,176.312,67827998.98
6/3/20,177.624,179.588,176.02,176.592,39747344.4
6/4/20,177.976,179.15,171.688,172.876,44438564.33
6/5/20,175.568,177.304,173.24,177.132,39059584.41
6/8/20,183.8,190,181.832,189.984,70873648.94
6/9/20,188.002,190.888,184.7862,188.134,56940749.15
6/10/20,198.376,205.496,196.5,205.01,92817048.61
6/11/20,198.04,203.792,194.4,194.568,79582398.81
6/12/20,196,197.596,182.52,187.056,83816843.74
6/15/20,183.558,199.768,181.7,198.18,78485893.82
6/16/20,202.37,202.576,192.478,196.426,70255398.95
6/17/20,197.542,201,196.5142,198.358,49453999.26
6/18/20,200.6,203.84,198.8942,200.792,48759679.27
6/19/20,202.556,203.194,198.268,200.18,43398744.35
6/22/20,199.99,201.776,198.004,198.864,31811749.52
6/23/20,199.776,202.4,198.802,200.356,31826354.52
6/24/20,198.822,200.177,190.6283,192.17,54797949.18
6/25/20,190.854,197.196,187.43,197.196,46272744.31
6/26/20,198.956,199,190.974,191.948,44274539.34
6/29/20,193.802,202,189.704,201.87,45132019.32
6/30/20,201.3,217.538,200.746,215.962,84592498.73
7/1/20,216.6,227.066,216.1,223.926,66634499
7/2/20,244.296,245.6,237.12,241.732,86250593.71
7/6/20,255.338,275.558,253.2088,274.316,102849293.5
7/7/20,281.002,285.9,267.342,277.972,107448298.4
7/8/20,281,283.452,262.268,273.176,81556553.78
7/9/20,279.398,281.712,270.256,278.856,58587999.12
7/10/20,279.2,309.783,275.202,308.93,116687753.2
7/13/20,331.8,358.998,294.222,299.412,194926792.1
7/14/20,311.2,318,286.2,303.36,117090703.2
7/15/20,308.6,310,291.4,309.202,81839153.77
7/16/20,295.432,306.342,293.2,300.128,71503953.93
7/17/20,302.69,307.502,298,300.168,46649859.3
7/20/20,303.802,330,297.6,328.6,85606843.72
7/21/20,327.986,335,311.6,313.672,80786398.79
7/22/20,319.8,325.284,312.4,318.466,70805398.94
7/23/20,335.79,337.8,296.154,302.614,121642498.2
7/24/20,283.202,293,273.308,283.4,96983093.55
7/27/20,287,309.588,282.6,307.92,80243353.8
7/28/20,300.8,312.94,294.884,295.298,79043493.81
7/29/20,300.2,306.962,297.4,299.822,47134464.29
7/30/20,297.6,302.648,294.2,297.498,38105199.43
7/31/20,303,303.41,284.196,286.152,61234799.08
8/3/20,289.84,301.962,288.877,297,44046729.34
8/4/20,299.002,305.482,292.4,297.4,42074949.37
8/5/20,298.598,299.9676,293.662,297.004,24890074.63
8/6/20,298.166,303.462,295.452,297.916,29961564.55
8/7/20,299.9074,299.95,283.002,290.542,44482099.33
8/10/20,289.6,291.5,277.168,283.714,37611319.44
8/11/20,279.2,284,273,274.878,43129169.35
8/12/20,294,317,287,310.952,109494148.4
8/13/20,322.2,330.236,313.452,324.2,102126553.5
8/14/20,332.998,333.76,325.328,330.142,62888049.06
8/17/20,335.4,369.172,334.566,367.128,101211598.5
8/18/20,379.798,384.78,369.022,377.418,82372448.76
8/19/20,373,382.2,368.242,375.706,61026649.08
8/20/20,372.136,404.398,371.412,400.366,103059003.5
8/21/20,408.952,419.098,405.01,409.996,107447803.4
8/24/20,425.255,425.8,385.504,402.84,100318093.5
8/25/20,394.978,405.59,393.6,404.668,53294449.2
8/26/20,412,433.2,410.7258,430.634,71196893.93
8/27/20,436.092,459.12,428.5,447.75,118465193.2
8/28/20,459.024,463.698,437.304,442.68,100405898.5
8/31/20,444.61,500.14,440.11,498.32,118374398
9/1/20,502.14,502.49,470.51,475.05,90119422
9/2/20,478.99,479.04,405.1206,447.37,96176125
9/3/20,407.23,431.8,402,407,87596086
9/4/20,402.81,428,372.0201,418.32,110321906
9/8/20,356,368.74,329.88,330.21,115465695
9/9/20,356.6,369,341.51,366.28,79465766
9/10/20,386.21,398.99,360.56,371.34,84930609
9/11/20,381.94,382.5,360.5,372.72,60717461
9/14/20,380.95,420,373.3,419.62,83020609
9/15/20,436.56,461.94,430.7,449.76,97298234
9/16/20,439.87,457.79,435.31,441.76,72546758
9/17/20,415.6,437.79,408.0001,423.43,76779156
9/18/20,447.94,451,428.8,442.15,86406812
9/21/20,453.13,455.68,407.07,449.39,109476797
9/22/20,429.6,437.76,417.6001,424.23,79580797
9/23/20,405.16,412.15,375.8801,380.36,95074180
9/24/20,363.8,399.5,351.3,387.79,96561055
9/25/20,393.47,408.7323,391.3,407.34,67208461
9/28/20,424.62,428.08,415.55,421.2,49719559
9/29/20,416,428.5,411.6,419.07,50341398
9/30/20,421.32,433.93,420.47,429.01,48145566
10/1/20,440.76,448.88,434.42,448.16,50741449
10/2/20,421.39,439.13,415,415.09,71430031
10/5/20,423.35,433.64,419.33,425.68,44722793
10/6/20,423.79,428.7799,406.05,413.98,49146262
10/7/20,419.87,429.9,413.845,425.3,43127711
10/8/20,438.44,439,425.3,425.92,40421121
10/9/20,430.13,434.5899,426.4601,434,28925660
10/12/20,442,448.74,438.58,442.3,38791129
10/13/20,443.35,448.89,436.6,446.65,34463672
10/14/20,449.78,465.9,447.35,461.3,48045391
10/15/20,450.31,456.57,442.5,448.88,35672352
10/16/20,454.44,455.9499,438.85,439.67,32775879
10/19/20,446.24,447,428.87,430.83,36287840
10/20/20,431.75,431.75,419.0501,421.94,31656289
10/21/20,422.7,432.95,421.25,422.64,32370461
10/22/20,441.92,445.23,424.51,425.79,39993191
10/23/20,421.84,422.8859,407.3801,420.63,33716980
10/26/20,411.63,425.76,410,420.28,28239160
10/27/20,423.76,430.5,420.1,424.68,22686510
10/28/20,416.48,418.6,406,406.02,25451410
10/29/20,409.96,418.06,406.46,410.83,22655311
10/30/20,406.8954,407.5915,379.11,388.04,42587641
11/2/20,394,406.9799,392.3,400.51,29021119
11/3/20,409.73,427.77,406.69,423.9,34351719
11/4/20,430.62,435.4,417.1,420.98,32143061
11/5/20,428.3,440,424.0001,438.09,28414520
11/6/20,436.1,436.57,424.28,429.95,21706010
11/9/20,439.5,452.5,421,421.26,34833031
11/10/20,420.09,420.09,396.0301,410.36,30284221
11/11/20,416.45,418.695,410.58,417.13,17357721
11/12/20,415.05,423,409.52,411.76,19940500
11/13/20,410.85,412.5319,401.66,408.5,19830350
11/16/20,408.93,412.45,404.0868,408.09,26838641
11/17/20,460.17,462,433.01,441.61,61188281
11/18/20,448.35,496,443.5001,486.64,78044016
11/19/20,492,508.6112,487.57,499.27,62475352
11/20/20,497.99,502.5,489.06,489.61,32911922
11/23/20,503.5,526,501.79,521.85,50260301
11/24/20,540.4,559.99,526.2,555.38,53648488
11/25/20,550.06,574,545.37,574,48930160
11/27/20,581.16,598.78,578.45,585.76,37561078
11/30/20,602.21,607.8,554.51,567.6,63003047
12/1/20,597.59,597.85,572.05,584.76,40382832
12/2/20,556.44,571.54,541.21,568.82,47775648
12/3/20,590.02,598.97,582.43,593.38,42552000
12/4/20,591.01,599.04,585.5,599.04,29401311
12/7/20,604.9197,648.7856,603.05,641.76,56309711
12/8/20,625.505,651.28,618.5,649.88,64265031
12/9/20,653.69,654.32,588,604.48,71291195
12/10/20,574.37,627.75,566.34,627.07,67083148
12/11/20,615.01,624,596.8,609.99,46474969
12/14/20,619,642.7499,610.2001,639.83,52040648
12/15/20,643.28,646.9,623.8,633.25,45223559
12/16/20,628.23,632.5,605,622.77,42095809
12/17/20,628.19,658.82,619.5,655.9,56270141
12/18/20,668.9,695,628.54,695,222126203
12/21/20,666.24,668.5,646.07,649.86,58045262
12/22/20,648,649.88,614.23,640.34,51861641
12/23/20,632.2,651.4999,622.5701,645.98,33172969
12/24/20,642.99,666.09,641,661.77,22865570
12/28/20,674.51,681.4,660.8,663.69,32278561
12/29/20,661,669.9,655,665.99,22910811
12/30/20,672,696.6,668.3603,694.78,42846020
12/31/20,699.99,718.72,691.12,705.67,49649930
1/4/21,719.46,744.4899,717.1895,729.77,48638191
1/5/21,723.66,740.84,719.2,735.11,32245170
1/6/21,758.49,774,749.1,755.98,44699969
1/7/21,777.63,816.99,775.2,816.04,51498953
1/8/21,856,884.49,838.39,880.02,75055531
1/11/21,849.4,854.43,803.6222,811.19,59554152
1/12/21,831,868,827.34,849.44,46270719
1/13/21,852.76,860.47,832,854.41,33312500
1/14/21,843.39,863,838.75,845,31266330
1/15/21,852,859.9,819.1,826.16,38777602
1/19/21,837.8,850,833,844.55,25366980
1/20/21,858.74,859.5,837.28,850.45,25665881
1/21/21,855,855.7199,841.4201,844.99,20598131
1/22/21,834.31,848,828.62,846.64,20066500
1/25/21,855,900.4,838.8201,880.8,41173398
1/26/21,891.38,895.9,871.6,883.09,23131600
1/27/21,870.35,891.5,858.66,864.16,27333961
1/28/21,820,848,801,835.43,26378051
1/29/21,830,842.41,780.1,793.53,34990754
2/1/21,814.29,842,795.5601,839.81,25391391
2/2/21,844.68,880.5,842.2006,872.79,24346211
2/3/21,877.02,878.08,853.0646,854.69,18343510
2/4/21,855,856.5,833.42,849.99,15812660
2/5/21,845,864.77,838.97,852.23,18566641
2/8/21,869.67,877.77,854.75,863.42,20161721
2/9/21,855.12,859.8,841.75,849.46,15157650
2/10/21,843.635,844.82,800.02,804.82,36216090
2/11/21,812.44,829.8799,801.725,811.66,21622750
2/12/21,801.26,817.33,785.3306,816.12,23768311
2/16/21,818,821,792.44,796.22,19802320
2/17/21,779.09,799.84,762.01,798.15,26078900
2/18/21,780.9,794.69,776.27,787.38,17957061
2/19/21,795,796.7899,777.37,781.3,18958260
2/22/21,762.64,768.5,710.2,714.5,37269719
2/23/21,662.13,713.6099,619,698.84,66606883
2/24/21,711.85,745,694.17,742.02,36766953
2/25/21,726.15,737.2066,670.58,682.22,39023859
2/26/21,700,706.7,659.51,675.5,41089168
3/1/21,690.11,872,685.05,718.43,27136240
3/2/21,718.28,721.11,685,686.44,23732160
3/3/21,687.99,700.7,651.705,653.2,30207961
3/4/21,655.8,873.94,600,621.44,65919531
3/5/21,626.06,627.8419,539.49,597.95,89396461
3/8/21,600.55,620.125,558.79,563,51786961
3/9/21,608.18,678.09,595.21,673.58,67523328
3/10/21,700.3,717.85,655.06,668.06,60605672
3/11/21,699.4,702.5,677.18,699.6,36253887
3/12/21,670,694.88,666.1394,693.73,33583840
3/15/21,694.09,713.18,684.04,707.94,29423480
3/16/21,703.35,707.92,671,676.88,32195670
3/17/21,656.87,703.73,651.01,701.81,40372449
3/18/21,684.29,689.23,652,653.16,33369020
3/19/21,646.6,657.23,624.6201,654.87,42893980
3/22/21,684.59,699.62,668.75,670,39512219
3/23/21,675.77,677.8,657.51,662.16,30491869
3/24/21,667.91,668.02,630.11,630.27,33795168
3/25/21,613,645.5,609.5,640.39,39224848
3/26/21,641.87,643.82,599.89,618.71,33852832
3/29/21,615.64,616.48,596.02,611.29,28636990
3/30/21,601.75,637.66,591.01,635.62,39432359
3/31/21,646.62,672,641.11,667.93,33337289
4/1/21,688.37,692.4203,659.42,661.75,35298379
4/5/21,707.71,708.16,684.7,691.05,41842770
4/6/21,690.3,696.55,681.37,691.62,28271840
4/7/21,687,691.38,667.84,670.97,26309430
4/8/21,677.38,689.5499,671.645,683.8,23924330
4/9/21,677.77,680.97,669.43,677.02,21437090
4/12/21,685.7,704.8,682.09,701.98,29135670
4/13/21,712.7,763,710.66,762.32,44652809
4/14/21,770.7,780.79,728.03,732.23,49017434
4/15/21,743.1,743.69,721.31,738.85,27848900
4/16/21,728.65,749.41,724.6,739.78,27979529
4/19/21,719.6,725.4,691.8001,714.63,39686230
4/20/21,717.42,737.25,710.685,718.99,35609039
4/21/21,704.77,744.84,698,744.12,31215510
4/22/21,741.5,753.77,718.04,719.69,35590262
4/23/21,719.8,737.36,715.46,729.4,28413891
4/26/21,741,749.3,732.6053,738.2,31038500
4/27/21,717.96,724,703.3501,704.74,29437000
4/28/21,696.41,708.5,693.6,694.4,22271051
4/29/21,699.51,702.25,668.5002,677,28845449
4/30/21,667.59,715.47,666.14,709.44,40758719
5/3/21,703.8,706,680.5,684.9,27043141
5/4/21,678.94,683.4464,657.701,673.6,29739320
5/5/21,681.06,685.2955,667.34,670.94,21901891
5/6/21,680.76,681.02,650,663.54,27784619
5/7/21,665.8,690,660.22,672.37,23469170
5/10/21,664.9,665.05,627.6101,629.04,31392420
5/11/21,599.24,627.0999,595.6,617.2,46503898
5/12/21,602.49,620.41,586.765,589.89,33823648
5/13/21,601.545,606.4599,559.65,571.69,44184922
5/14/21,583.41,592.87,570.46,589.74,33370859
5/17/21,575.553,589.73,561.2,576.83,32247801
5/18/21,568,596.25,563.38,577.87,36830566
5/19/21,552.55,566.21,546.98,563.46,39578398
5/20/21,575,588.85,571.07,586.78,30821119
5/21/21,596.11,596.68,580,580.88,26030600
5/24/21,581.6,614.48,573.65,606.44,34558090
5/25/21,607.31,613.99,595.71,604.69,28005930
5/26/21,607.56,626.17,601.5,619.13,28639311
5/27/21,620.24,631.13,616.21,630.85,26370590
5/28/21,628.5,635.59,622.38,625.22,22737039
6/1/21,627.8,633.8,620.55,623.9,18084891
6/2/21,620.13,623.36,599.14,605.12,23302779
6/3/21,601.8,604.55,571.22,572.84,30111891
6/4/21,579.71,600.61,577.2,599.05,24036900
6/7/21,591.825,610,582.88,605.13,22543680
6/8/21,623.01,623.09,595.5,603.59,26053410
6/9/21,602.17,611.79,597.6301,598.78,16584570
6/10/21,603.88,616.59,600.5,610.12,23919609
6/11/21,610.23,612.56,601.52,609.89,16205300
6/14/21,612.23,625.49,609.18,617.69,20423980
6/15/21,616.69,616.79,598.23,599.36,17764150
6/16/21,597.535,608.5,593.5,604.87,22144131
6/17/21,601.888,621.47,601.34,616.6,22701350
6/18/21,613.37,628.35,611.8,623.31,24560910
6/21/21,624.48,631.39,608.88,620.83,24812740
6/22/21,618.25,628.5693,615.5,623.71,19158891
6/23/21,632,657.204,630.04,656.57,31099230
6/24/21,674.99,697.62,667.61,679.82,45982391
6/25/21,689.58,693.81,668.7,671.87,32496711
6/28/21,671.64,694.6999,670.32,688.72,21628160
6/29/21,684.65,687.5099,675.89,680.76,17381311
6/30/21,679.77,692.81,678.14,679.7,18924859
7/1/21,683.92,687.99,672.8,677.92,18634520
7/2/21,678.98,700,673.26,678.9,27097369
7/6/21,681.7115,684,651.4002,659.58,23284449
7/7/21,664.27,665.7,638.32,644.65,18791961
7/8/21,628.37,654.43,620.46,652.81,22773320
7/9/21,653.185,658.91,644.69,656.95,18140551
7/12/21,662.2,687.24,662.161,685.7,25927039
7/13/21,686.32,693.28,666.2958,668.54,20966090
7/14/21,670.75,678.6099,652.84,653.38,21641189
7/15/21,658.39,666.14,637.88,650.6,20209570
7/16/21,654.68,656.6999,642.2,644.22,16370970
7/19/21,629.89,647.1999,621.29,646.22,21297090
7/20/21,651.99,662.3916,640.501,660.5,15487130
7/21/21,659.61,664.8599,650.2901,655.29,13953340
7/22/21,656.4428,662.17,644.6001,649.26,15105730
7/23/21,646.36,648.8,637.3001,643.38,14604940
7/26/21,650.97,668.1999,647.11,657.62,25336561
7/27/21,663.4,666.5,627.24,644.78,32813289
7/28/21,646.995,654.9699,639.4001,646.98,16006600
7/29/21,649.79,683.69,648.8,677.35,30394641
7/30/21,671.758,697.53,669,687.2,29656410
8/2/21,700,726.94,698.4,709.67,33615770
8/3/21,719,722.65,701.01,709.74,21620250
8/4/21,711,724.9,708.93,710.92,17002650
8/5/21,716,720.9499,711.41,714.63,12919640
8/6/21,711.9,716.33,697.63,699.1,15623050
8/9/21,710.17,719.03,705.13,713.76,14715350
8/10/21,713.99,716.59,701.88,709.99,13432310
8/11/21,712.71,715.18,704.21,707.82,9800558
8/12/21,706.34,722.8,699.4,722.25,17681689
8/13/21,723.71,729.9,714.34,717.17,16731471
8/16/21,705.07,709.5,676.4,686.17,23103301
8/17/21,672.66,674.58,648.84,665.71,23721279
8/18/21,669.748,695.77,669.35,688.99,20349381
8/19/21,678.21,686.55,667.59,673.47,14313490
8/20/21,682.85,692.1299,673.7,680.26,14841870
8/23/21,685.442,712.1299,680.7505,706.3,20264859
8/24/21,710.68,715.22,702.64,708.49,13083070
8/25/21,707.03,716.97,704,711.2,12645560
8/26/21,708.31,715.4,697.6201,701.16,13214290
8/27/21,705,715,702.1001,711.92,13833760
8/30/21,714.715,731,712.73,730.91,18604221
8/31/21,733,740.39,726.44,735.72,20855439
9/1/21,734.08,741.99,731.2701,734.09,13204340
9/2/21,734.5,740.97,730.54,732.39,12796740
9/3/21,732.249,734,724.2,733.57,15271050
9/7/21,740,760.2,739.26,752.92,20039830
9/8/21,761.58,764.45,740.7733,753.87,18793039
9/9/21,753.41,762.1,751.6301,754.86,14077730
9/10/21,759.6,762.61,734.5201,736.27,15184170
9/13/21,740.214,744.78,708.85,743,22952480
9/14/21,742.57,754.47,736.4,744.49,18524881
9/15/21,745,756.86,738.36,755.83,15357690
9/16/21,752.83,758.91,747.61,756.99,13923390
9/17/21,757.15,761.04,750,759.49,28204180
9/20/21,734.5577,742,718.6249,730.17,24757650
9/21/21,734.79,744.7399,730.44,739.38,16330720
9/22/21,743.5263,753.6699,739.12,751.94,15126270
9/23/21,755,758.2,747.92,753.64,11947530
9/24/21,745.89,774.8,744.56,774.39,21373020
9/27/21,773.12,799,769.31,791.36,28070660
9/28/21,787.2,795.64,766.1801,777.56,25381420
9/29/21,779.8,793.5,770.68,781.31,20942881
9/30/21,781,789.1305,775,775.48,17955961
10/1/21,778.4,780.78,763.59,775.22,17031410
10/4/21,796.5,806.9699,776.12,781.53,30483340
10/5/21,784.796,797.31,774.2,780.59,18432631
10/6/21,776.2,786.66,773.22,782.75,14632770
10/7/21,785.46,805,783.38,793.61,19195779
10/8/21,796.21,796.38,780.91,785.49,16738600
10/11/21,787.65,801.24,785.5,791.94,14200320
10/12/21,800.93,812.32,796.57,805.72,22020039
10/13/21,810.47,815.41,805.78,811.08,14120080
10/14/21,815.49,820.25,813.3501,818.32,12247170
10/15/21,823.738,843.21,822.35,843.03,18924570
